time_seconds,queue_size
1.275217,446574
2.280071,445170
3.2812471,440855
4.2857541,432565
5.2864113,427892
6.2890799,424024
7.2905982,419742
8.2949305,413374
9.3007559,407292
10.3034714,401087
11.3084634,395869
12.3099356,391661
13.3127854,387202
14.3178179,381813
15.321962599999999,376043
16.3238675,370150
17.327662,364154
18.328431899999998,357192
19.3290999,350124
20.3326601,342051
21.3372634,332579
22.3416771,323096
23.3432514,314744
24.3485518,305966
25.352878,298281
26.3549453,291588
27.3575584,283569
28.3628438,272848
29.3644268,261627
30.3705052,246674
31.3707302,227258
32.3716461,217947
33.3753755,209185
34.3767206,200557
35.3804152,192230
36.386134,183981
37.3901136,175626
38.3926433,166479
39.3936496,152902
40.3995234,133886
41.4034421,118145
42.4062019,103418
43.4075114,88568
44.4138842,75906
45.4170729,64090
46.4199806,53426
47.4201212,41666
48.4255092,29339
49.425808,18688
50.4274649,7765
